id;name;lat;long;Country;Regas Capacity [Mtpa];country_code;Status;type
GIE_LG_0;Zeebrugge LNG Terminal;51,323;3,213;Belgium;6,6;BE;operational;
GIE_LG_1;Bilbao LNG Terminal;43,3612;-3,09473;Spain;5,1;ES;operational;
GIE_LG_2;Barcelona LNG Terminal;41,398;2,174;Spain;12,6;ES;operational;
GIE_LG_3;Cartagena LNG Terminal;37,624;-0,998;Spain;8,7;ES;operational;
GIE_LG_4;Huelva LNG Terminal;37,2583;-6,9508;Spain;8,7;ES;operational;
GIE_LG_5;Sagunto LNG Terminal;39,6426;-0,2344;Spain;6,4;ES;operational;
GIE_LG_6;Mugardos LNG Terminal;43,4578;-8,253;Spain;2,6;ES;operational;
GIE_LG_7;Fos Tonkin LNG Terminal;43,454;4,85167;France;1,2;FR;operational;
GIE_LG_8;Montoir de Bretagne LNG Terminal;47,32;-2,14;France;8;FR;operational;
GIE_LG_9;Dunkerque LNG Terminal;51,033134;2,194792;France;9,6;FR;operational;
GIE_LG_10;Fos Cavaou LNG Terminal;43,42239;4,89863;France;8;FR;operational;
GIE_LG_11;Isle of Grain LNG Terminal;51,45;0,711;United Kingdom;14,3;GB;operational;
GIE_LG_12;South Hook LNG Terminal;51,713781;-5,078012;United Kingdom;15,4;GB;operational;
GIE_LG_13;Revythoussa LNG Terminal;37,96;23,4023;Greece;5,1;GR;operational;
GIE_LG_14;Panigaglia LNG Terminal;44,073876;9,830632;Italy;2,5;IT;operational;
GIE_LG_15;FSRU OLT Offshore LNG Toscana;43,548;10,2808;Italy;2,8;IT;operational;
GIE_LG_16;Porto Levante LNG Terminal;45,048836;12,36397;Italy;6,6;IT;operational;
GIE_LG_17;FSRU Independence;55,7252;21,151954;Lithuania;2,9;LT;operational;
GIE_LG_18;Rotterdam Gate Terminal;51,9536;4,5614;Netherlands;8,8;NL;operational;
GIE_LG_20;Sines LNG Terminal;37,9583;-8,8048;Portugal;5,6;PT;operational;
GIE_LG_21;Elbehafen LNG Terminal;53,88847133;9,175292926;Germany;3,7;DE;operational;FSRU
GIE_LG_22;Lubmin LNG;54,1499331;13,65149124;Germany;3,8;DE;operational;FSRU
GIE_LG_23;Wilhelmshaven LNG;53,6418678;8,108391559;Germany;5,5;DE;operational;FSRU
GIE_LG_24;Brunsbuettel LNG Terminal;53,88847133;9,175292926;Germany;5,88;DE;under construction;Onshore
GIE_LG_25;Stade LNG;53,64855062;9,506103471;Germany;5,51;DE;under construction;Floating
GIE_LG_26;El Musel LNG;43,56999779;-5,693720178;Spain;5,1;ES;operational;
GIE_LG_27;Dragon LNG;51,70776324;-4,99096862;United Kingdom;5,6;GB;operational;
GIE_LG_28;Krk LNG Croatia;45,19977191;14,53459444;Croatia;2,1;HR;operational;
GIE_LG_29;Inkoo FSRU;60,0148995;23,92326324;Finland;4,8;FI;operational;
GIE_LG_30;Ravenna LNG;44,47181939;12,24942525;Italy;0,7;IT;operational;
GIE_LG_31;Piombino FSRU;42,93506807;10,54656672;Italy;3,7;IT;operational;
GIE_LG_32;Eemshaven/Igloo LNG;53,45093986;6,832277916;Netherlands;5,9;NL;operational;
GIE_LG_33;?winouj?cie;53,92342182;14,3000778;Poland;4,6;PL;operational;
